,player_position,average_rating,total_game_played,started_game_percentage,minute_per_game,goals_per_game,assist_per_game,dribbled_per_game,pourcentage passes,balls_recovered_per_game,possession_won,tackles_per_game,interception_per_game,clean_sheets,saves,goals_conceded,number_match_called_up,number_match_started,player_status,national_team,player_market_value,league_ranking,player_name_sofascore,player_name_transfer_market,player_team,player_league
0,F,7.16,36.0,0.72,66.67,0.47,0.14,0.48,68.67,0.0,0.39,0.52,0.28,0.0,0.0,0.0,0.92,0.5,line-up,austria 2020,8.0,,Saša Kalajdži?,Sasa Kalajdzic,,
1,F,6.89,37.0,0.65,61.22,0.19,0.16,0.24,77.14,0.0,0.22,0.4,0.08,0.0,0.0,0.0,0.0,0.0,not-called-up,portugal 2020,25.0,,Rafael Leão,Rafael Leão,,
2,F,6.61,33.0,0.27,30.0,0.12,0.0,0.2,61.0,0.0,0.3,0.2,0.2,0.0,0.0,0.0,0.83,0.17,not-called-up,austria 2020,22.0,,Adrian Grbi?,Adrian Grbic,,
3,F,6.93,17.0,0.41,41.53,0.24,0.18,0.09,64.41,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,not-called-up,russia 2020,3.5,,Konstantin Tyukavin,Konstantin Tyukavin,,
4,F,7.0,37.0,0.76,67.0,0.32,0.22,0.4,83.0,0.0,0.4,0.6,0.3,0.0,0.0,0.0,0.0,0.0,not-called-up,spain 2020,30.0,,Javi Puado,Javi Puado,,
5,F,7.04,26.0,0.46,39.12,0.23,0.12,0.35,75.5,0.0,0.35,0.93,0.21,0.0,0.0,0.0,0.0,0.0,not-called-up,switzerland 2020,6.5,,Noah Okafor,Noah Okafor,,
6,F,6.83,30.0,0.43,46.83,0.2,0.1,0.42,84.17,0.0,0.37,0.93,0.42,0.0,0.0,0.0,1.0,0.55,called-up,croatia 2020,16.0,,Mario Pašali?,Mario Pasalic,,
7,F,6.96,32.0,0.72,63.81,0.34,0.19,0.93,66.28,0.0,0.6,0.88,0.25,0.0,0.0,0.0,0.18,0.09,line-up,croatia 2020,24.0,,Ante Rebi?,Ante Rebic,,
8,F,7.44,36.0,0.94,80.25,0.81,0.14,0.37,66.17,0.0,0.3,0.43,0.21,0.0,0.0,0.0,0.0,0.0,not-called-up,turkey 2020,2.8,,Serdar Dursun,Serdar Dursun,,
9,F,7.42,34.0,0.82,81.06,0.74,0.15,0.19,82.29,0.0,0.81,0.28,0.25,0.0,0.0,0.0,0.55,0.18,line-up,croatia 2020,30.5,,Andrej Kramari?,Andrej Kramaric,,
